persistence_tau_times_r,resource_equilibrium_over_K,resource_variance_per_unit_environment_variance,modified_variance,variance_change_percent,cv2_change_percent,consumer_variance_change_percent,resource_mean,modified_resource_mean,consumer_mean,modified_consumer_mean
25.118864315095795,0.22426666666666667,0.03243191279312633,0.03459103517768814,6.657400685350323,-13.607505444866208,12.972268984754542,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
26.437611857491,0.22426666666666667,0.030926082110876413,0.032998051356212615,6.699746957625496,-13.573204964323327,13.090957266473024,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
27.825594022071243,0.22426666666666667,0.029483885811558332,0.03147115206647798,6.740177558755134,-13.540456177408311,13.205032476839374,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
29.286445646252357,0.22426666666666667,0.028103333731290214,0.03000839294683674,6.778765942011478,-13.509199586970666,13.314616504229516,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
30.823992397451434,0.22426666666666667,0.026782413236446815,0.02860779121311486,6.815584393209129,-13.479376641500584,13.419833443212115,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
32.4422607917163,0.22426666666666667,0.025519102581071658,0.02726734071408489,6.850703810838388,-13.4509299132209,13.52080892800329,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
34.14548873833603,0.22426666666666667,0.02431138244629007,0.025985025062913027,6.884193526717186,-13.423803243359067,13.617669527762843,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
35.938136638046274,0.22426666666666667,0.023157245842822277,0.024758829023175107,6.91612116234992,-13.397941858496532,13.710542200182928,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
37.824899063893845,0.22426666666666667,0.022054706545565957,0.02358674831813843,6.946552516612314,-13.373292461543995,13.799553799863528,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
39.810717055349734,0.22426666666666667,0.021001806216790788,0.022466798021336915,6.975551480781106,-13.349803300567286,13.884830638035805,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
41.90079105786669,0.22426666666666667,0.01999662036208387,0.02139701967542283,7.003179977324048,-13.3274242183675,13.966498090280343,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
44.100594541767364,0.22426666666666667,0.019037263251051168,0.02037548727516306,7.029497919234795,-13.306106685419794,14.04468024898675,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
46.4158883361278,0.22426666666666667,0.0181218919230928,0.01940031223949143,7.054563187023155,-13.28580381851121,14.11949961740875,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
48.852735715193894,0.22426666666666667,0.017248709387445767,0.018469647486908283,7.078431620809611,-13.266470387144192,14.191076842289707,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
